15.240.62.77	443	Amazon.com, Inc.	lokistat.com;ec2-15-240-62-77.af-south-1.compute.amazonaws.com;api.lokistat.com	Amazon.com, Inc.	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
160.226.167.79	443	Letaba-Wireless		Letaba Networks (Pty) Ltd	{'city': 'Thulamahashi', 'region_code': 'LP', 'area_code': None, 'longitude': 31.19939, 'latitude': -24.72459, 'country_code': 'ZA', 'country_name': 'South Africa'}	Hikvision IP Camera		-TLSv1;-SSLv2;-SSLv3;TLSv1.1;TLSv1.2;TLSv1.3			
15.240.57.108	443	Amazon.com, Inc.	www.nxtjob.co.za;nxtjob.co.za;ec2-15-240-57-108.af-south-1.compute.amazonaws.com	Amazon.com, Inc.	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
164.160.89.153	443	Teraco JHB Cloud VM	dsvps01.dswebservices.co.za	Optify Systems (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
129.151.173.232	443	Oracle Corporation		Oracle Corporation	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
105.242.192.25	9443	Vodacom_ENS	vc-gp-n-105-242-192-25.umts.vodacom.co.za	Vodacom	{'city': 'Pretoria', 'region_code': 'GP', 'area_code': None, 'longitude': 28.18783, 'latitude': -25.74486, 'country_code': 'ZA', 'country_name': 'South Africa'}	Portainer	2.39.1				
166.85.17.67	443	The Standard Bank of South Africa (Proprietary) Limited	ras.standardbank.co.za	The Standard Bank of South Africa (Proprietary) Limited	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Citrix Netscaler		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
2001:43f8:1f3:a00::11	443	ISPA SA	www.sdnog.sd;wiki.sdnog.sd	ISPA SA	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
102.209.119.98	443	VPS Hostafrica	ubnt.hexconnect.co.za	Host Africa (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
41.76.213.178	443	Afrihost	intasect03.dedicated.co.za;buildproconstruction.dedicated.co.za;www.abinbev.suplec.co.za;abinbev.dedicated.co.za;abinbev.suplec.co.za	Afrihost (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
13.247.49.148	443	Amazon Data Services South Africa	wisl.nwu.ac.za;ec2-13-247-49-148.af-south-1.compute.amazonaws.com	Amazon.com, Inc.	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
196.15.190.221	443	Telkom SA Ltd.	tableviewvillas.co.za;iholiday.co.za;www.tableviewvillas.co.za;www.seansky.co.za;www.qunufalls.co.za;beekmanresorts.co.za;invernessresort.co.za;www.beekmanresorts.com;placidwaters.co.za;seansky.co.za;www.placidwaters.co.za;www.beekmanresorts.co.za;www.iholiday.co.za;beekmanresorts.com;qunufalls.co.za;www.invernessresort.co.za	Telkom SA Ltd.	{'city': 'Pretoria', 'region_code': 'GP', 'area_code': None, 'longitude': 28.18783, 'latitude': -25.74486, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd	2.4.58	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
169.239.181.233	443	VPS Hostafrica	snipeit.itequiprentals.co.za	Host Africa (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd	2.4.58	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
41.149.69.118	443	Telkom SA Limited	netcare.co.za	Telkom SA Ltd.	{'city': 'Pretoria', 'region_code': 'GP', 'area_code': None, 'longitude': 28.18783, 'latitude': -25.74486, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
169.239.180.109	443	VPS Hostafrica	www.kasirooms.co.za;kasirooms.co.za	Host Africa (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx	1.24.0	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
102.66.108.41	444	HERO TELECOMS (PTY) LTD		HERO TELECOMS (PTY) LTD	{'city': 'Thulamahashi', 'region_code': 'LP', 'area_code': None, 'longitude': 31.19939, 'latitude': -24.72459, 'country_code': 'ZA', 'country_name': 'South Africa'}	Hikvision IP Camera					
102.218.213.61	443	VPS Hostafrica	today-ww.net	Host Africa (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
